scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,random_effects,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Temkinli,192,48,228,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.7433333333333333,0.8,0.5916666666666667,0.6416666666666667,0.6966666666666667,0.45,0.01957594423246533,0.01876709097605976,0.09854467393663204,0.1006007517301875,0.1994946546118421,0,20270826
Temkinli,208,52,248,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.7766666666666666,0.805,0.6266666666666667,0.6783333333333333,0.7233333333333334,0.5066666666666667,0.019069924935275363,0.018262996387149538,0.09903735937764692,0.10224364648771915,0.20302895642910038,0,20270843
Temkinli,224,56,264,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.8066666666666666,0.815,0.6666666666666666,0.7233333333333334,0.7,0.5233333333333333,0.018262996387149538,0.01870828693386971,0.09876699913825877,0.09794218024426846,0.20003203754908183,0,20270860
Temkinli,240,60,284,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.8383333333333334,0.8416666666666667,0.7033333333333334,0.745,0.7533333333333333,0.5566666666666666,0.017793959649274244,0.017598400600728002,0.0973727102947012,0.09831640119600157,0.19903510567213034,0,20270877
Temkinli,248,62,292,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.865,0.8566666666666667,0.7383333333333333,0.8,0.775,0.6233333333333333,0.01632993161855452,0.017047727121232318,0.09973111998049707,0.10007973752712414,0.1997075073518365,0,20270894
Temkinli,256,64,304,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.8666666666666667,0.85,0.7266666666666667,0.7966666666666666,0.7866666666666666,0.63,0.016431113214918868,0.01672434464197936,0.09859722371232343,0.09902477899173526,0.2007844498679601,0,20270911
Temkinli,272,68,320,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.8883333333333333,0.915,0.8133333333333334,0.82,0.84,0.69,0.015684387141358124,0.014966629547095767,0.09953860285667039,0.10213426362358861,0.19942152364815172,0,20270928
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.9133333333333333,0.9083333333333333,0.83,0.865,0.8666666666666667,0.7483333333333333,0.013950806428303706,0.013877773329774218,0.0991272378169514,0.10110217944536305,0.2007107914313873,0,20270945
Temkinli,304,76,360,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.915,0.9166666666666666,0.8383333333333334,0.8583333333333333,0.8466666666666667,0.7283333333333334,0.01423594173340974,0.014709533315859153,0.09813160203140817,0.09958594393694223,0.20051638055851384,0,20270962
Temkinli,320,80,380,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,600,3000,0.94,0.915,0.8616666666666667,0.8916666666666667,0.8783333333333333,0.785,0.012688395106173605,0.013345654029738726,0.09864850713646407,0.0999405790968006,0.19967517011629676,0,20270979
