scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,joint_sig_language_alpha05,joint_sig_action_alpha05,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Temkinli,196,49,232,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.788,0.799,0.63,0.705,0.704,0.504,0.01442133835675455,0.014435511767859151,0.783,0.799,0.1001245056378798,0.10043803915858827,0.19983235956615597,0,20265000
Temkinli,200,50,236,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.795,0.805,0.649,0.721,0.723,0.523,0.014183053267896867,0.014151713677148785,0.798,0.809,0.09968452423353807,0.10020660249783066,0.19909410144787945,0,20265083
Temkinli,204,51,240,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.797,0.804,0.641,0.725,0.711,0.526,0.014120021246442939,0.0143345387090063,0.8,0.798,0.09959142201643272,0.09854397102576826,0.20126424560113038,0,20265166
Temkinli,208,52,248,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.819,0.814,0.665,0.742,0.726,0.538,0.013836039895866157,0.014104041973845655,0.824,0.812,0.09942804293579222,0.09902967244636829,0.1983834386465682,0,20265249
Temkinli,212,53,252,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.814,0.819,0.669,0.737,0.738,0.549,0.013922320208930694,0.013905250806799567,0.814,0.818,0.09944373186159063,0.09986415326712882,0.19860486257989327,0,20265332
Temkinli,216,54,256,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.836,0.827,0.693,0.758,0.749,0.572,0.013543854695026818,0.013711272734505722,0.837,0.832,0.09965836146452156,0.09959294381992934,0.2010775036507345,0,20265415
Temkinli,220,55,260,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.83,0.852,0.708,0.763,0.79,0.602,0.013447341744746431,0.01288021738946979,0.832,0.851,0.09982268662541474,0.10058447149771425,0.20095844726757042,0,20265498
Temkinli,224,56,264,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.839,0.835,0.688,0.779,0.764,0.584,0.01312093746650749,0.013427732496590778,0.838,0.832,0.09923250534498573,0.09906998681060926,0.20003340708451814,0,20265581
Temkinli,228,57,272,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.878,0.833,0.727,0.819,0.761,0.622,0.012175343937647102,0.01348625225924534,0.875,0.831,0.10194865752272249,0.09811332028418142,0.19931029519491356,0,20265664
Temkinli,232,58,276,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.854,0.865,0.741,0.767,0.801,0.618,0.013368283360252356,0.012625331678811452,0.85,0.865,0.09910198716008606,0.10005259744857221,0.20025806841020988,0,20265747
Temkinli,236,59,280,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.861,0.882,0.761,0.78,0.808,0.629,0.01309961831505025,0.01245536029185828,0.858,0.88,0.0990776614150382,0.09952435053626078,0.19964823297176526,0,20265830
Temkinli,240,60,284,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.865,0.863,0.754,0.797,0.791,0.636,0.012719709116170855,0.012857643641040918,0.871,0.864,0.09910514139121997,0.09864456923957708,0.20044358793979206,0,20265913
Temkinli,244,61,288,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.865,0.878,0.758,0.79,0.819,0.642,0.01288021738946979,0.012175343937647102,0.862,0.882,0.0991457895200914,0.10011926804327624,0.19959056482489446,0,20265996
Temkinli,248,62,292,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.892,0.905,0.805,0.821,0.84,0.687,0.012122664723566351,0.011593101396951551,0.889,0.901,0.09944349581437888,0.10123644485092319,0.20018993231313958,0,20266079
Temkinli,252,63,300,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.889,0.885,0.786,0.837,0.836,0.699,0.011680368144883107,0.011709141727727102,0.889,0.885,0.10159819491034652,0.10132640357498468,0.20063593233999805,0,20266162
Temkinli,256,64,304,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.884,0.887,0.781,0.818,0.813,0.671,0.01220147532063234,0.012330085157856779,0.883,0.884,0.09988508595239325,0.10007697580154061,0.19962853444893244,0,20266245
Temkinli,260,65,308,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,1000,2500,0.903,0.912,0.827,0.858,0.853,0.735,0.011037934589405756,0.011197812286335219,0.903,0.912,0.10124130791247697,0.10065968523609396,0.2004129333520342,0,20266328
